DeviceTag: Xsens DOT,FirmwareVersion: 2.2.1,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Euler),StartTime: 2024-03-09 12:52:53.574,© Movella Technologies B.V. 2005-2024
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
13259399,-0.2070,-0.6547,0.6198,-0.3800,-0.1451,-0.4430,0.0254,0
13259566,-0.2059,-0.6554,0.6198,-0.3795,-0.1535,-0.2568,-0.4109,0
13259732,-0.2033,-0.6571,0.6203,-0.3771,-0.1776,-0.3327,-0.1020,0
13259899,-0.2002,-0.6589,0.6211,-0.3740,-0.3600,-0.4376,0.1560,0
13260066,-0.1968,-0.6609,0.6224,-0.3703,-0.4329,-0.3298,0.3678,0
13260232,-0.1937,-0.6629,0.6232,-0.3669,-0.2508,-0.8145,0.4837,0
13260399,-0.1911,-0.6648,0.6239,-0.3638,-0.3980,-0.7207,0.6981,0
13260566,-0.1915,-0.6650,0.6231,-0.3644,-0.2962,-0.3285,1.6961,0
13260732,-0.2042,-0.6590,0.6168,-0.3789,0.4870,0.1243,1.2938,0
13260899,-0.2154,-0.6542,0.6099,-0.3919,0.3328,0.1180,-1.0317,0
13261066,-0.2208,-0.6529,0.6063,-0.3967,-0.4372,1.2849,-0.0045,0
13261232,-0.2242,-0.6506,0.6069,-0.3976,-0.4852,1.7108,-0.1005,0
13261399,-0.2262,-0.6469,0.6111,-0.3961,0.0471,1.4718,-0.0150,0
13261566,-0.2289,-0.6421,0.6168,-0.3935,0.1502,1.3094,0.4926,0
13261732,-0.2325,-0.6368,0.6226,-0.3910,0.4579,-0.3104,0.5647,0
13261899,-0.2363,-0.6327,0.6264,-0.3892,0.1177,-1.5037,0.9462,0
13262066,-0.2403,-0.6313,0.6273,-0.3875,0.3355,-1.6746,1.6333,0
13262232,-0.2449,-0.6314,0.6263,-0.3860,-0.6311,-0.8163,0.5298,0
13262399,-0.2494,-0.6317,0.6259,-0.3834,-0.6299,0.1528,0.1867,0
13262566,-0.2538,-0.6314,0.6266,-0.3798,-0.4306,0.8502,0.0771,0
13262733,-0.2594,-0.6301,0.6284,-0.3753,-0.2553,1.7057,-0.0200,0
13262899,-0.2668,-0.6264,0.6313,-0.3713,0.0763,1.3321,-0.1818,0
13263066,-0.2736,-0.6216,0.6357,-0.3670,0.4762,0.8547,-0.4263,0
13263233,-0.2805,-0.6162,0.6398,-0.3637,0.5337,0.5518,-0.3146,0
13263399,-0.2885,-0.6098,0.6434,-0.3619,0.0502,0.0538,-0.4030,0
13263566,-0.2955,-0.6037,0.6472,-0.3597,-0.0140,-0.4254,-0.4473,0
13263733,-0.3011,-0.5978,0.6515,-0.3571,-0.3780,-0.2490,0.1115,0
13263899,-0.3086,-0.5909,0.6546,-0.3565,0.1528,-0.2342,-0.0884,0
13264066,-0.3176,-0.5846,0.6564,-0.3557,-0.3193,-0.0660,-0.0979,0
13264233,-0.3301,-0.5773,0.6561,-0.3569,-0.5646,-0.1715,-0.2328,0
13264399,-0.3440,-0.5681,0.6552,-0.3602,0.0447,-0.7079,-0.4300,0
13264566,-0.3536,-0.5600,0.6561,-0.3617,-0.3225,-0.4206,-0.0970,0
13264733,-0.3659,-0.5485,0.6565,-0.3664,0.0320,0.2217,-0.3401,0
13264899,-0.3755,-0.5385,0.6583,-0.3684,0.1476,-0.3556,-1.1730,0
13265066,-0.3839,-0.5299,0.6603,-0.3686,-0.3143,-0.2600,-0.7376,0
13265233,-0.3928,-0.5202,0.6617,-0.3705,-0.4186,-0.5911,-0.7185,0
13265399,-0.4010,-0.5103,0.6630,-0.3731,0.0656,-1.2611,-0.6054,0
13265566,-0.4049,-0.5029,0.6659,-0.3737,-0.9050,-1.0225,-0.3928,0
13265733,-0.4091,-0.4947,0.6684,-0.3757,-0.5688,-1.3785,-0.0025,0
13265899,-0.4122,-0.4875,0.6706,-0.3778,-0.9313,-1.1289,0.2037,0
13266066,-0.4160,-0.4809,0.6714,-0.3807,-0.9492,-1.3721,0.0483,0
13266233,-0.4197,-0.4766,0.6708,-0.3831,-0.9002,-1.3714,0.4001,0
13266399,-0.4236,-0.4733,0.6688,-0.3862,-0.9107,-1.3964,0.7831,0
13266566,-0.4256,-0.4716,0.6673,-0.3888,-0.7228,-1.2827,0.8150,0
13266733,-0.4263,-0.4712,0.6660,-0.3907,-0.6527,-0.7252,0.8848,0
13266899,-0.4283,-0.4710,0.6637,-0.3927,-0.5598,-0.6542,0.6094,0
13267066,-0.4296,-0.4712,0.6621,-0.3938,-0.3539,-0.5765,0.4307,0
13267233,-0.4312,-0.4710,0.6604,-0.3952,-0.2726,-0.3962,0.0895,0
13267399,-0.4325,-0.4710,0.6588,-0.3964,-0.3346,-0.6239,-0.0930,0
13267566,-0.4322,-0.4716,0.6578,-0.3976,-0.1611,-0.6018,-0.1092,0
13267733,-0.4312,-0.4723,0.6570,-0.3992,-0.2910,-0.2518,-0.2114,0
13267899,-0.4297,-0.4726,0.6569,-0.4006,-0.3784,-0.0654,-0.2767,0
