DeviceTag: Xsens DOT,FirmwareVersion: 2.2.1,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Euler),StartTime: 2024-03-09 13:04:44.984,© Movella Technologies B.V. 2005-2024
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
20380283,0.0876,0.8950,0.4321,-0.0676,0.0910,-0.2761,0.0405,0
20380450,0.0861,0.8960,0.4304,-0.0672,-0.0344,-0.3740,0.0476,0
20380617,0.0847,0.8969,0.4289,-0.0666,-0.3149,-0.1535,0.0091,0
20380783,0.0835,0.8977,0.4275,-0.0659,-0.3303,0.1010,-0.0971,0
20380950,0.0828,0.8986,0.4258,-0.0653,-0.4131,0.1998,-0.0177,0
20381117,0.0825,0.8995,0.4240,-0.0647,-0.4884,0.2355,0.0724,0
20381283,0.0826,0.9003,0.4226,-0.0642,-0.2662,0.1026,0.0372,0
20381450,0.0830,0.9007,0.4215,-0.0638,-0.0115,-0.1320,0.0101,0
20381617,0.0834,0.9010,0.4210,-0.0635,0.1198,-0.2007,0.0712,0
20381783,0.0837,0.9013,0.4203,-0.0631,-0.0143,-0.0148,0.1363,0
20381950,0.0837,0.9018,0.4194,-0.0628,-0.1977,0.1364,0.1530,0
20382117,0.0836,0.9023,0.4183,-0.0625,-0.1237,-0.0242,0.1451,0
20382283,0.0832,0.9027,0.4175,-0.0624,0.0916,-0.1912,0.0387,0
20382450,0.0825,0.9028,0.4174,-0.0623,0.0874,-0.2329,-0.0051,0
20382617,0.0819,0.9028,0.4176,-0.0621,-0.0057,-0.1755,0.1465,0
20382783,0.0814,0.9028,0.4178,-0.0619,-0.0178,0.0339,0.2249,0
20382950,0.0806,0.9028,0.4180,-0.0619,-0.1043,0.0458,0.2068,0
20383117,0.0797,0.9027,0.4183,-0.0619,-0.0045,0.0292,0.1960,0
20383283,0.0786,0.9026,0.4188,-0.0620,0.0487,0.0495,0.1594,0
20383450,0.0776,0.9022,0.4196,-0.0620,0.1035,0.1420,0.0308,0
20383617,0.0768,0.9019,0.4204,-0.0620,0.1337,0.2914,-0.0883,0
20383783,0.0765,0.9019,0.4207,-0.0619,-0.0517,0.4088,0.0363,0
20383950,0.0765,0.9019,0.4205,-0.0620,-0.1165,0.2442,0.2118,0
20384117,0.0766,0.9019,0.4205,-0.0622,0.0238,0.0286,0.1162,0
20384283,0.0768,0.9018,0.4207,-0.0624,0.1501,-0.0621,-0.0219,0
20384450,0.0768,0.9015,0.4213,-0.0625,0.1432,-0.1104,0.0483,0
20384617,0.0767,0.9011,0.4221,-0.0626,0.1886,-0.0767,0.0757,0
20384783,0.0765,0.9006,0.4231,-0.0627,0.1223,0.0566,-0.0102,0
20384950,0.0764,0.9002,0.4240,-0.0627,0.0662,0.1940,-0.0891,0
20385117,0.0765,0.9000,0.4245,-0.0627,-0.0455,0.2207,-0.1128,0
20385283,0.0765,0.8999,0.4248,-0.0625,-0.0683,0.0292,-0.0452,0
20385450,0.0766,0.8997,0.4252,-0.0623,-0.0015,-0.1733,0.0042,0
20385617,0.0766,0.8995,0.4257,-0.0620,0.1403,-0.2428,0.0454,0
20385783,0.0768,0.8991,0.4265,-0.0618,0.1741,-0.1453,0.1057,0
20385950,0.0769,0.8987,0.4274,-0.0616,0.1288,0.1025,0.1551,0
20386117,0.0769,0.8983,0.4282,-0.0615,0.0688,0.1910,0.1290,0
20386283,0.0770,0.8980,0.4287,-0.0615,0.0321,0.0760,0.0848,0
20386450,0.0773,0.8979,0.4290,-0.0614,-0.0220,0.0263,0.0717,0
20386617,0.0778,0.8979,0.4289,-0.0612,0.0347,0.1333,0.0372,0
20386783,0.0782,0.8979,0.4289,-0.0610,0.0527,0.0770,0.1130,0
20386950,0.0784,0.8978,0.4291,-0.0611,0.1099,0.0158,0.1455,0
20387117,0.0785,0.8977,0.4293,-0.0611,0.1599,0.0060,0.1310,0
20387283,0.0786,0.8976,0.4295,-0.0612,0.0917,0.0327,0.1651,0
20387450,0.0785,0.8975,0.4297,-0.0613,0.1200,0.1111,0.0614,0
20387617,0.0785,0.8974,0.4298,-0.0614,0.0114,0.1566,0.0267,0
20387783,0.0785,0.8973,0.4299,-0.0615,-0.0076,0.1222,0.0580,0
20387950,0.0785,0.8973,0.4300,-0.0616,0.0073,0.0833,0.0979,0
20388117,0.0786,0.8972,0.4301,-0.0617,0.0477,0.0324,0.1112,0
20388283,0.0786,0.8972,0.4303,-0.0616,0.0861,0.0319,0.0505,0
20388450,0.0787,0.8971,0.4304,-0.0615,0.0649,0.0766,0.0707,0
20388617,0.0787,0.8970,0.4305,-0.0614,-0.0084,0.0481,0.1365,0
20388784,0.0784,0.8969,0.4309,-0.0614,0.0281,0.0175,0.1602,0
20388950,0.0781,0.8968,0.4312,-0.0615,0.0205,0.0026,0.1122,0
20389117,0.0780,0.8967,0.4314,-0.0615,0.0900,0.0500,0.0023,0
20389284,0.0780,0.8966,0.4315,-0.0615,0.0874,0.0555,-0.0380,0
20389450,0.0780,0.8965,0.4318,-0.0614,0.0841,0.0435,-0.0293,0
20389617,0.0782,0.8963,0.4321,-0.0613,0.0581,0.0456,-0.0259,0
20389784,0.0785,0.8962,0.4323,-0.0611,0.0561,0.0170,0.0127,0
20389950,0.0791,0.8962,0.4323,-0.0609,0.1024,0.0245,0.0146,0
20390117,0.0795,0.8961,0.4324,-0.0608,0.0967,-0.0341,0.0551,0
20390284,0.0798,0.8960,0.4327,-0.0606,0.1190,-0.0595,0.0190,0
20390450,0.0801,0.8958,0.4329,-0.0604,0.0463,-0.0761,0.0580,0
20390617,0.0804,0.8957,0.4331,-0.0602,0.0574,-0.0988,0.0660,0
20390784,0.0808,0.8956,0.4334,-0.0600,0.1027,-0.0860,0.0099,0
20390950,0.0812,0.8955,0.4335,-0.0597,0.0822,0.0302,0.0912,0
20391117,0.0816,0.8954,0.4337,-0.0595,0.0031,0.0799,0.1422,0
20391284,0.0818,0.8952,0.4341,-0.0594,0.0082,0.0295,0.0504,0
20391450,0.0823,0.8949,0.4345,-0.0593,-0.0408,-0.0536,-0.0797,0
20391617,0.0827,0.8945,0.4353,-0.0590,-0.1116,-0.1936,-0.1249,0
20391784,0.0832,0.8940,0.4364,-0.0588,-0.2258,-0.2466,-0.0736,0
20391950,0.0836,0.8933,0.4378,-0.0584,-0.4144,-0.3053,0.0576,0
20392117,0.0843,0.8924,0.4394,-0.0580,-0.4692,-0.3140,0.0761,0
20392284,0.0847,0.8914,0.4415,-0.0575,-0.4762,-0.4554,0.0483,0
20392450,0.0854,0.8899,0.4444,-0.0571,-0.7340,-0.4830,-0.0486,0
20392617,0.0864,0.8880,0.4481,-0.0568,-0.8141,-0.7435,-0.2376,0
20392784,0.0879,0.8854,0.4530,-0.0564,-0.9722,-0.9544,-0.3946,0
20392950,0.0900,0.8819,0.4594,-0.0558,-0.8724,-0.7559,-0.4177,0
20393117,0.0922,0.8776,0.4672,-0.0551,-0.9606,-0.5449,-0.2086,0
20393284,0.0944,0.8724,0.4764,-0.0549,-1.2553,-0.2754,-0.2817,0
20393450,0.0967,0.8665,0.4865,-0.0551,-1.2956,-0.2590,-0.5207,0
20393617,0.0998,0.8602,0.4971,-0.0549,-1.6159,-0.8582,-0.4588,0
20393784,0.1041,0.8531,0.5083,-0.0551,-1.7963,-1.3727,-0.1660,0
20393950,0.1095,0.8449,0.5207,-0.0551,-1.3161,-1.6791,0.0315,0
20394117,0.1143,0.8351,0.5352,-0.0548,-0.4926,-1.7006,0.1577,0
20394284,0.1178,0.8238,0.5517,-0.0550,-0.7204,-1.4991,0.4146,0
20394450,0.1211,0.8113,0.5692,-0.0564,-0.8735,-1.2140,0.0660,0
20394617,0.1256,0.7982,0.5864,-0.0577,-0.8881,-1.0085,-0.2833,0
20394784,0.1316,0.7845,0.6032,-0.0581,-0.9031,-0.6672,-0.0020,0
20394950,0.1384,0.7703,0.6198,-0.0578,-0.2697,-0.3501,0.2419,0
20395117,0.1449,0.7561,0.6356,-0.0580,0.0620,-0.7667,0.4521,0
20395284,0.1516,0.7408,0.6518,-0.0585,0.0678,-1.5669,0.7069,0
20395450,0.1577,0.7237,0.6692,-0.0597,0.0700,-1.8172,0.8006,0
20395617,0.1630,0.7050,0.6875,-0.0617,0.0615,-1.7945,0.5600,0
20395784,0.1698,0.6859,0.7049,-0.0627,-0.4278,-0.6058,-0.3531,0
20395950,0.1765,0.6674,0.7208,-0.0620,-0.1470,-0.4897,0.3832,0
20396117,0.1829,0.6496,0.7354,-0.0613,0.3177,-1.2263,1.2759,0
20396284,0.1893,0.6308,0.7500,-0.0614,1.2216,-1.7596,1.0888,0
20396450,0.1947,0.6104,0.7653,-0.0615,1.6175,-1.9720,1.0790,0
20396617,0.2002,0.5888,0.7807,-0.0618,1.3876,-1.9081,1.1039,0
20396784,0.2076,0.5671,0.7947,-0.0608,0.9393,-0.5319,-0.1087,0
20396950,0.2145,0.5466,0.8074,-0.0576,0.7946,0.0938,0.0082,0
20397117,0.2196,0.5267,0.8194,-0.0548,1.1435,-0.4636,0.8676,0
20397284,0.2237,0.5062,0.8312,-0.0530,1.9368,-0.9858,0.9189,0
20397450,0.2272,0.4842,0.8434,-0.0506,2.2908,-1.0340,0.7111,0
20397617,0.2299,0.4611,0.8557,-0.0478,1.8108,-0.5965,0.8412,0
20397784,0.2328,0.4391,0.8666,-0.0452,0.1450,0.1258,0.3327,0
20397950,0.2367,0.4207,0.8748,-0.0418,-0.7363,0.3396,-0.0839,0
20398117,0.2411,0.4046,0.8813,-0.0369,0.2692,0.1237,0.0819,0
20398284,0.2448,0.3876,0.8882,-0.0311,2.1396,0.2253,0.3780,0
20398450,0.2476,0.3686,0.8957,-0.0250,2.4543,0.3773,0.7374,0
20398617,0.2503,0.3486,0.9030,-0.0198,1.5742,0.4133,0.7845,0
20398784,0.2535,0.3294,0.9094,-0.0150,0.5594,0.4489,0.1525,0
20398950,0.2565,0.3118,0.9148,-0.0094,0.2228,0.5484,-0.4600,0
20399117,0.2589,0.2956,0.9196,-0.0026,0.6145,0.7181,-0.2961,0
20399284,0.2603,0.2804,0.9239,0.0039,1.2933,0.5944,0.4568,0
20399450,0.2605,0.2651,0.9283,0.0084,1.3882,0.2255,0.5925,0
20399617,0.2597,0.2493,0.9329,0.0117,1.1098,0.0941,0.3352,0
20399784,0.2585,0.2337,0.9372,0.0147,0.9760,0.2806,0.1618,0
20399950,0.2572,0.2181,0.9412,0.0182,0.8057,0.7245,-0.2779,0
20400117,0.2559,0.2026,0.9450,0.0221,0.8915,1.0117,-0.2550,0
20400284,0.2548,0.1877,0.9482,0.0264,0.5847,0.7940,-0.2939,0
20400450,0.2538,0.1737,0.9510,0.0311,0.3608,0.5702,-0.2358,0
20400617,0.2526,0.1605,0.9535,0.0356,0.3070,0.5052,-0.2561,0
20400784,0.2516,0.1478,0.9557,0.0397,0.4929,0.8863,-0.1588,0
20400950,0.2506,0.1357,0.9575,0.0439,0.5334,1.3409,-0.3364,0
20401117,0.2496,0.1242,0.9591,0.0481,0.2908,1.2502,-0.2556,0
20401284,0.2487,0.1132,0.9605,0.0524,0.1171,0.9671,-0.2591,0
20401450,0.2481,0.1029,0.9616,0.0565,-0.0724,0.7119,-0.1615,0
20401617,0.2477,0.0931,0.9625,0.0600,-0.0614,0.7181,-0.0670,0
20401784,0.2478,0.0834,0.9632,0.0632,-0.0155,0.8568,-0.1651,0
20401950,0.2478,0.0735,0.9638,0.0660,0.1158,1.0346,-0.1292,0
20402117,0.2480,0.0637,0.9642,0.0686,-0.0621,0.7701,-0.0889,0
20402284,0.2481,0.0546,0.9646,0.0708,-0.0679,0.5712,-0.1403,0
20402450,0.2482,0.0461,0.9649,0.0724,0.0146,0.6218,-0.1561,0
20402617,0.2482,0.0378,0.9652,0.0735,0.0381,0.6729,-0.2069,0
20402784,0.2481,0.0294,0.9654,0.0742,-0.1279,0.6060,-0.1756,0
20402950,0.2479,0.0218,0.9657,0.0746,-0.2623,0.4991,0.0191,0
20403117,0.2475,0.0151,0.9659,0.0747,-0.2830,0.4782,0.0053,0
20403284,0.2472,0.0089,0.9660,0.0749,-0.1019,0.6468,0.0173,0
20403450,0.2467,0.0029,0.9661,0.0753,-0.0959,0.8144,0.1041,0
20403617,0.2464,-0.0029,0.9662,0.0759,-0.2099,0.7272,0.1416,0
20403784,0.2459,-0.0084,0.9662,0.0766,-0.2477,0.5797,0.0054,0
20403950,0.2453,-0.0134,0.9662,0.0778,-0.2850,0.4728,-0.0588,0
20404117,0.2447,-0.0176,0.9662,0.0796,-0.2614,0.6820,-0.0757,0
20404284,-0.2441,0.0213,-0.9661,-0.0813,-0.3130,0.8519,-0.0045,0
20404450,-0.2432,0.0249,-0.9661,-0.0828,-0.3256,0.9314,-0.1487,0
20404617,-0.2419,0.0282,-0.9662,-0.0842,-0.2842,0.7661,-0.2740,0
20404784,-0.2403,0.0315,-0.9664,-0.0857,-0.2874,0.7412,-0.1991,0
20404950,-0.2386,0.0349,-0.9666,-0.0870,-0.4083,0.6254,-0.1230,0
20405117,-0.2370,0.0380,-0.9668,-0.0879,-0.4854,0.6442,-0.0694,0
20405284,-0.2355,0.0408,-0.9670,-0.0887,-0.4112,0.6917,-0.0826,0
20405451,-0.2341,0.0434,-0.9671,-0.0893,-0.3450,0.5224,-0.0804,0
20405617,-0.2330,0.0455,-0.9672,-0.0900,-0.3062,0.3457,-0.1147,0
20405784,-0.2318,0.0475,-0.9674,-0.0907,-0.1900,0.4401,-0.1135,0
20405951,-0.2307,0.0495,-0.9675,-0.0912,-0.1857,0.4841,-0.0061,0
20406117,-0.2298,0.0514,-0.9676,-0.0914,-0.3765,0.5037,-0.0580,0
20406284,-0.2290,0.0530,-0.9676,-0.0917,-0.5650,0.4155,-0.1551,0
20406451,-0.2286,0.0540,-0.9677,-0.0920,-0.5756,0.2735,-0.0939,0
20406617,-0.2283,0.0551,-0.9676,-0.0923,-0.4189,0.3897,-0.0516,0
20406784,-0.2282,0.0561,-0.9676,-0.0926,-0.4549,0.3596,-0.0184,0
20406951,-0.2282,0.0569,-0.9675,-0.0927,-0.5270,0.4960,-0.1060,0
20407117,-0.2282,0.0578,-0.9675,-0.0928,-0.4188,0.5526,-0.0656,0
20407284,-0.2284,0.0587,-0.9674,-0.0927,-0.4450,0.3692,-0.0097,0
20407451,-0.2285,0.0595,-0.9673,-0.0926,-0.4348,0.2069,0.0007,0
20407617,-0.2288,0.0601,-0.9673,-0.0922,-0.3604,0.1769,-0.0239,0
20407784,-0.2289,0.0606,-0.9673,-0.0915,-0.2379,0.1844,-0.1291,0
20407951,-0.2290,0.0610,-0.9673,-0.0908,-0.1370,0.0648,-0.0908,0
20408117,-0.2292,0.0613,-0.9673,-0.0902,-0.1646,0.0322,0.0664,0
20408284,-0.2294,0.0618,-0.9673,-0.0892,-0.2384,0.1811,0.1225,0
