DeviceTag: Xsens DOT,FirmwareVersion: 2.2.1,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Euler),StartTime: 2024-04-06 12:30:27.399,© Movella Technologies B.V. 2005-2024
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
5594252,0.4478,-0.0726,-0.0566,-0.8894,3.2928,-1.3543,7.3869,0
5594419,0.4555,-0.0639,-0.0616,-0.8858,2.3553,-1.5413,10.2226,0
5594586,0.4643,-0.0600,-0.0650,-0.8812,1.6538,-1.1928,10.9703,0
5594752,0.4749,-0.0586,-0.0664,-0.8756,1.4194,-0.7617,10.1106,0
5594919,0.4869,-0.0597,-0.0652,-0.8690,1.0478,-0.0962,9.6279,0
5595086,0.4989,-0.0612,-0.0611,-0.8623,0.6031,1.4005,9.9246,0
5595252,0.5106,-0.0639,-0.0530,-0.8558,0.4253,2.7749,10.7699,0
5595419,0.5214,-0.0694,-0.0409,-0.8495,0.5451,3.6248,11.0483,0
5595586,0.5308,-0.0790,-0.0265,-0.8434,0.6828,3.9975,10.5656,0
5595752,0.5395,-0.0927,-0.0105,-0.8368,0.9432,4.2274,9.1353,0
5595919,0.5476,-0.1104,0.0056,-0.8294,1.1794,4.8659,6.9204,0
5596086,0.5537,-0.1328,0.0178,-0.8219,1.2294,5.2451,4.4562,0
5596252,0.5580,-0.1586,0.0254,-0.8142,0.9580,5.5423,2.9690,0
5596419,0.5603,-0.1853,0.0310,-0.8067,0.6125,5.6058,1.2587,0
5596586,0.5593,-0.2126,0.0345,-0.8005,0.1038,5.7497,-0.3187,0
5596752,0.5549,-0.2406,0.0359,-0.7956,-0.5455,5.4508,-1.9961,0
5596919,0.5476,-0.2680,0.0359,-0.7918,-1.2634,4.7165,-3.9780,0
5597086,0.5387,-0.2929,0.0358,-0.7892,-2.0776,3.7758,-5.5908,0
5597252,0.5289,-0.3143,0.0364,-0.7875,-2.9027,2.5860,-6.8611,0
